dv_correlation,age_min,mean_age,sd_age,age_max,total_n,prop_female,dv_old_mean,dv_old_sd,old_age_min,old_mean_age,old_sd_age,old_age_max,old_total_n,old_prop_female,dv_young_mean,dv_young_sd,young_age_min,young_mean_age,young_sd_age,young_age_max,young_total_n,young_prop_female,outcome_num,dv_units,first_author,year_of_publication,title_of_article
-0.18019082468442063,18,46.63978494623656,23.350775852773605,84,186,0.5268817204301075,0.05287724677153498,0.06862724034407239,55,69.68478260869566,5.469052488051002,84,92,0.4673913043478261,0.07968572502331447,0.07915842319314292,18,24.085106382978722,3.9802187611248745,36,94,0.5851063829787234,1,Discounting rate,Lockwood,2021,Aging Increases Prosocial Motivation for Effort
-0.43142805914374327,18,44.91836734693877,25.7724673156019,79,98,0.6632653061224489,0.7614583333333333,0.2072394501930365,65,70.9375,3.640237600381882,79,48,0.6875,0.913695,0.134498125034348,18,19.94,1.530772780696877,24,50,0.64,1,Area Under the Curve,McLaughlin,2021,Measuring the Subjective Cost of Listening Effort Using a Discounting Task
-0.09027890946875163,22,49.66304347826087,18.011154769474302,83,92,0.5978260869565217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Discounting Rate,Seaman,2016,Adult Age Differences in Decision Making Across Domains: Increased Discounting of Social and Health-Related Rewards
NA,NA,NA,NA,NA,NA,NA,5.699807219775128,5.486226776447536,NA,69,4.54,NA,19,NA,3.550069685777044,1.4479688835124553,NA,23.1,4.56,NA,22,NA,1,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,5.30422350018828,2.766311346733318,NA,69,4.54,NA,19,NA,5.178032684117394,2.652405265844286,NA,23.1,4.56,NA,22,NA,2,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,8.834998472676753,4.349625278877142,NA,69,4.54,NA,19,NA,9.587638523134032,4.684939125425677,NA,23.1,4.56,NA,22,NA,3,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,17.76057602309161,15.919159807855918,NA,69,4.54,NA,19,NA,15.902957966933418,6.277874266050913,NA,23.1,4.56,NA,22,NA,4,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,32.27378556901048,26.675645871891096,NA,69,4.54,NA,19,NA,23.614279668323316,13.437289206809321,NA,23.1,4.56,NA,22,NA,5,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,40.692712038874355,29.61793744211111,NA,69,4.54,NA,19,NA,41.080189237205715,27.613867252651893,NA,23.1,4.56,NA,22,NA,6,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,3.8589449067519994,1.731454116663349,NA,69,4.54,NA,19,NA,3.056504449108839,1.0867358081760106,NA,23.1,4.56,NA,22,NA,7,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,4.501200797796984,2.3849802359617525,NA,69,4.54,NA,19,NA,4.302072334685984,2.030358185825391,NA,23.1,4.56,NA,22,NA,8,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,5.283092483793153,3.733123006918011,NA,69,4.54,NA,19,NA,6.492085925796326,4.872529590790825,NA,23.1,4.56,NA,22,NA,9,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,6.663756362912777,4.6745076895955595,NA,69,4.54,NA,19,NA,10.83876009388877,6.611748642391065,NA,23.1,4.56,NA,22,NA,10,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,11.50922491507006,7.156882190282824,NA,69,4.54,NA,19,NA,19.947508706704085,20.33920069682595,NA,23.1,4.56,NA,22,NA,11,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
NA,NA,NA,NA,NA,NA,NA,22.81724322325656,17.883956269216956,NA,69,4.54,NA,19,NA,28.53155181959682,26.41199520403106,NA,23.1,4.56,NA,22,NA,12,Indifference Point,Chen,2020,Dopamine-Dependent Loss Aversion during Effort-Based Decision-Making
