id,age,gender,gainGam,mixedGam,lossGam
1,3,0,0.454545454545455,0.5,0.545454545454545
2,3,0,0.454545454545455,0.75,0.454545454545455
3,3,0,0.454545454545455,0.75,0.545454545454545
4,1,1,0.727272727272727,0.375,0.545454545454545
5,2,1,0.909090909090909,0.875,0
6,1,1,0.636363636363636,0.5,0.363636363636364
7,2,0,0.363636363636364,0.5,0.454545454545455
8,2,1,0.727272727272727,0.25,0.636363636363636
9,2,1,0.545454545454545,1,0.454545454545455
10,3,1,0.727272727272727,0.5,0.454545454545455
11,3,1,0.272727272727273,0.375,0.363636363636364
12,6,1,0.181818181818182,0.125,0.0909090909090909
13,5,1,0.636363636363636,0.75,0.818181818181818
14,1,0,0.727272727272727,0.625,0.454545454545455
15,1,0,1,0.875,0
16,3,1,0,1,0.909090909090909
17,3,0,0.545454545454545,0.75,0.545454545454545
18,1,0,0.727272727272727,0.375,0.272727272727273
19,3,1,0.363636363636364,0.5,0.818181818181818
20,3,0,0.909090909090909,0.25,0.545454545454545
21,4,0,0.818181818181818,1,0.909090909090909
22,3,1,0.818181818181818,0.875,1
23,4,1,0.727272727272727,0.875,0.727272727272727
24,3,1,0.454545454545455,1,0.909090909090909
25,1,1,1,0.875,0.636363636363636
26,4,1,0,0,0
27,3,0,0.272727272727273,0.625,0.0909090909090909
28,3,1,0.909090909090909,1,0.909090909090909
29,4,0,0.454545454545455,0.5,0.181818181818182
30,4,0,0.454545454545455,0.25,0.454545454545455
31,3,1,0.454545454545455,0.625,0.727272727272727
32,5,1,1,0.875,0.636363636363636
33,6,1,0.545454545454545,0.625,0.272727272727273
34,2,0,0.545454545454545,0.875,0.545454545454545
35,1,0,0.909090909090909,0.5,0.0909090909090909
36,2,1,0.909090909090909,1,0.909090909090909
37,2,0,0.636363636363636,0.875,0.636363636363636
38,3,0,0.0909090909090909,0.375,0
39,3,0,0.909090909090909,0.5,0.363636363636364
40,3,0,0.272727272727273,0.125,0.454545454545455
41,3,1,0.818181818181818,1,1
42,6,0,0.909090909090909,1,0.727272727272727
43,5,1,0,0,0
44,1,0,0.272727272727273,0.375,0
45,2,0,0.545454545454545,0.75,0.727272727272727
46,1,0,0.545454545454545,0.5,0.636363636363636
47,4,1,0.909090909090909,0.5,0.363636363636364
48,3,1,0.272727272727273,0.625,0.818181818181818
49,5,0,0.545454545454545,0.25,0.636363636363636
50,2,0,0.363636363636364,0.75,0.272727272727273
51,3,1,0.272727272727273,0.5,0.818181818181818
52,5,1,0.818181818181818,1,0.818181818181818
53,1,0,0.181818181818182,0.875,0.727272727272727
54,4,1,0.363636363636364,1,0.545454545454545
55,4,1,0.0909090909090909,1,0.727272727272727
